,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
37,"Driving Home for Christmas - 2019 Remaster","Chris Rea",2052443,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
38,HOLIDAY,"Lil Nas X",2023751,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
39,"Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney",2010290,https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu
40,"WAP (feat. Megan Thee Stallion)","Cardi B",1998394,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
41,"WITHOUT YOU","The Kid LAROI",1984329,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
42,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",1932533,https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b
43,ivy,"Taylor Swift",1901722,https://open.spotify.com/track/19CSr8rwW05VJL2F91KFNK
44,"Lonely (with benny blanco)","Justin Bieber",1895332,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
45,dorothea,"Taylor Swift",1891466,https://open.spotify.com/track/3w9VRlKPvNxj40RdUGRweH
46,"coney island (feat. The National)","Taylor Swift",1873112,https://open.spotify.com/track/4tyX1rw9X309WkEdh2As4B
47,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1851185,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
48,"Watermelon Sugar","Harry Styles",1837662,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
49,"you broke me first","Tate McRae",1833919,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
50,"evermore (feat. Bon Iver)","Taylor Swift",1797649,https://open.spotify.com/track/0AaV4MJrgmLV3XhoiWXjjb
51,"long story short","Taylor Swift",1794818,https://open.spotify.com/track/0vVMlbdYx2080Oa9FndPZr
52,"Levitating (feat. DaBaby)","Dua Lipa",1722903,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
53,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1688948,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
54,"cowboy like me","Taylor Swift",1668279,https://open.spotify.com/track/1XjHRolIXL2M1EEOUsGGR4
55,"Tequila Shots","Kid Cudi",1657823,https://open.spotify.com/track/30KctD1WsHKTIYczXjip5a
56,"TE MUDASTE","Bad Bunny",1642800,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
57,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1615244,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
58,"Someone You Loved","Lewis Capaldi",1613258,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
59,"La Nota","Manuel Turizo",1612978,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
60,"Head & Heart (feat. MNEK)","Joel Corry",1610211,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
61,"Relación - Remix",Sech,1606448,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
62,marjorie,"Taylor Swift",1590049,https://open.spotify.com/track/7vBNFh3NIZTj6tB5s1IBjE
63,"Show Out (with Skepta & Pop Smoke)","Kid Cudi",1588707,https://open.spotify.com/track/5CFJRZRq6sdKKtRwNPWbYv
64,Heather,"Conan Gray",1579194,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
65,"Life Goes On",BTS,1573106,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
66,Reloj,"Rauw Alejandro",1569554,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
67,"The Christmas Song (Merry Christmas To You)","Nat King Cole",1565977,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
68,"Dance Monkey","Tones And I",1565048,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
69,"Chica Ideal","Sebastian Yatra",1564623,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
70,"La Tóxica",Farruko,1497022,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
71,"Roses - Imanbek Remix","SAINt JHN",1473544,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
72,closure,"Taylor Swift",1462043,https://open.spotify.com/track/3uayvzcbqFydIbgUeC6EJh
73,"Vida de Rico",Camilo,1453091,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
74,"Merry Christmas Everyone","Shakin' Stevens",1444687,https://open.spotify.com/track/2TE4xW3ImvpltVU0cPcKUn
75,"Holy (feat. Chance The Rapper)","Justin Bieber",1406297,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
76,"White Christmas","Bing Crosby",1395988,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
77,"A Holly Jolly Christmas - Single Version","Burl Ives",1386214,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
78,"Reminds Me Of You","Juice WRLD",1376367,https://open.spotify.com/track/5YSHygGN9D0mID1NsVd5my
79,"La Curiosidad","Jay Wheeler",1340822,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
80,"Before You Go","Lewis Capaldi",1327698,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
81,"Se Te Nota (with Guaynaa)","Lele Pons",1322253,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
82,Wonder,"Shawn Mendes",1308402,https://open.spotify.com/track/6ZuahEctZD6w75peme58hm
83,"Don't Start Now","Dua Lipa",1307137,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
84,Jeans,"Justin Quiles",1303833,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
85,Body,"Megan Thee Stallion",1303092,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
86,"Sweater Weather","The Neighbourhood",1301445,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
87,"Mi Niña",Wisin,1283980,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
88,pov,"Ariana Grande",1268818,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
89,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",1267425,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
90,Snowman,Sia,1263943,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
91,"She Knows This","Kid Cudi",1252661,https://open.spotify.com/track/1xzUQMiCoY5pdego0pHMeV
92,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1250438,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
93,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1227789,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
94,"Hecha Pa' Mi",Boza,1222111,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
95,"Ay, DiOs Mío!","KAROL G",1219717,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
96,"Una Locura",Ozuna,1218346,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
97,"death bed (coffee for your head)",Powfu,1208138,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
98,"The Box","Roddy Ricch",1206991,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
99,"The Business",Tiësto,1201692,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
100,"Put Your Records On","Ritt Momney",1193388,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
101,"Parce (feat. Justin Quiles)",Maluma,1184501,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
102,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",1177174,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
103,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1172364,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
104,BEBÉ,Camilo,1165940,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
105,"SO DONE","The Kid LAROI",1158463,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
106,"Lucid Dreams","Juice WRLD",1148791,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
107,"Santa Baby","Kylie Minogue",1139001,https://open.spotify.com/track/2SBr3MK1sdMs8IxdRcN6qz
108,"Blueberry Faygo","Lil Mosey",1137870,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
109,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1136787,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
110,"Take You Dancing","Jason Derulo",1133792,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
111,"lovely (with Khalid)","Billie Eilish",1124928,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
112,"Santa Claus Is Coming To Town","The Jackson 5",1119154,https://open.spotify.com/track/6a1hzBiTkgqTsDA0Xgfh9z
113,Circles,"Post Malone",1116940,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
114,"Tyler Herro","Jack Harlow",1116013,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
115,"Another Day","Kid Cudi",1113830,https://open.spotify.com/track/6myUpr3GDR80Dg3zqNTmmG
116,"Wishing Well","Juice WRLD",1109486,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
117,"Breaking Me",Topic,1098388,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
118,Golden,"Harry Styles",1090739,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
119,"Blue Christmas","Elvis Presley",1087044,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
120,"Hawái - Remix",Maluma,1080892,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
121,"Train Wreck","James Arthur",1080534,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
122,Tusa,"KAROL G",1067726,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
123,"Way Out (feat. Big Sean)","Jack Harlow",1064459,https://open.spotify.com/track/57VeLYXrvNxe8Vs18K2M9W
124,"Come & Go (with Marshmello)","Juice WRLD",1057980,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
125,"Christmas (Baby Please Come Home)","Darlene Love",1048776,https://open.spotify.com/track/47ohYW8e7dxCYn9qbUMBCI
126,"Paradise (feat. Dermot Kennedy)",MEDUZA,1048659,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
127,goosebumps,"Travis Scott",1048634,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
128,"Adore You","Harry Styles",1042213,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
129,Memories,"Maroon 5",1036563,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
130,"Tattoo - Remix with Camilo","Rauw Alejandro",1033457,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
131,Robbery,"Juice WRLD",1026055,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
132,Despeinada,Ozuna,1012536,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
133,"Run Rudolph Run - Single Version","Chuck Berry",1010007,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ
134,"Midnight Sky","Miley Cyrus",1009798,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX
135,Sofia,Clairo,1009234,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
136,Falling,"Trevor Daniel",1008321,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
137,"Solo Dolo, Pt. III","Kid Cudi",993727,https://open.spotify.com/track/27oVCAziETRbNuo5A8LNpg
138,"Step Into Christmas","Elton John",978646,https://open.spotify.com/track/6sBWmE23q6xQHlnEZ8jYPT
139,Señorita,"Shawn Mendes",977073,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
140,"Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates",974097,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU
141,Daisy,Ashnikko,973536,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
142,"Mood Swings (feat. Lil Tjay)","Pop Smoke",970949,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
143,"Christmas Lights",Coldplay,969433,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL
144,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",962503,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
145,"bad guy","Billie Eilish",957169,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
146,Dive,"Kid Cudi",955603,https://open.spotify.com/track/7Hc3YL8oDiAzbiAW32KXrw
147,"HACIENDO QUE ME AMAS","Bad Bunny",954369,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
148,"Thank God It's Christmas - Non-Album Single",Queen,953273,https://open.spotify.com/track/2xGO2UjzxeVQSIkyg98vck
149,"Stuck with U (with Justin Bieber)","Ariana Grande",947640,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
150,"Recairei - Ao Vivo","Os Barões Da Pisadinha",946528,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
151,"La Jeepeta - Remix","Nio Garcia",941254,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
152,"HIGHEST IN THE ROOM","Travis Scott",939097,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
153,"Dreams - 2004 Remaster","Fleetwood Mac",938768,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
154,Goosebumps,HVME,936495,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
155,"Have Yourself A Merry Little Christmas","Sam Smith",918048,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
156,"All Girls Are The Same","Juice WRLD",917441,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
157,"Mi Cuarto","Jerry Di",915547,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
158,"Heaven On Earth","Kid Cudi",914749,https://open.spotify.com/track/2koUj1Fn5TKFEkChSmBPIb
159,Shallow,"Lady Gaga",903949,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
160,"Jocelyn Flores",XXXTENTACION,902905,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
161,"YO VISTO ASÍ","Bad Bunny",895932,https://open.spotify.com/track/5fROvzNghPid8mbKNDYvpJ
162,"Sad People","Kid Cudi",891160,https://open.spotify.com/track/4nuAslShoN77tq12fzwjUq
163,"Si Me Tomo Una Cerveza",Migrantes,890186,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
164,"Baby, It's Cold Outside (feat. Meghan Trainor)","Brett Eldredge",889848,https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK
165,"Deep End",Fousheé,887468,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
166,"Rain On Me (with Ariana Grande)","Lady Gaga",884415,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
167,"How You Like That",BLACKPINK,883016,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
168,"Life Is Good (feat. Drake)",Future,880678,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
169,ROXANNE,"Arizona Zervas",876942,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
170,Falling,"Harry Styles",876606,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
171,"My Only Wish (This Year)","Britney Spears",874915,https://open.spotify.com/track/0YWUHZPJVg4iujddsJDwhM
172,"Amor ou o Litrão","Petter Ferraz",872839,https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1
173,"Tú Me Dejaste De Querer","C. Tangana",871495,https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971
174,"Oh Santa! (feat. Ariana Grande & Jennifer Hudson)","Mariah Carey",864009,https://open.spotify.com/track/2VkuxjlbnbaBiWYpdBGVol
175,Believer,"Imagine Dragons",861909,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
176,"Like It's Christmas","Jonas Brothers",860917,https://open.spotify.com/track/1OjmlSFuzYflWjSMTCyTJv
177,"If the World Was Ending (feat. Julia Michaels)","JP Saxe",859223,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
178,"Daddy Issues","The Neighbourhood",854696,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
179,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,853819,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
180,"Break My Heart","Dua Lipa",850978,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
181,Damaged,"Kid Cudi",850152,https://open.spotify.com/track/2n7Ao4nyESBa5ti8gcAbBt
182,Polvo,"Nicky Jam",843739,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
183,"Your New Boyfriend","Wilbur Soot",841034,https://open.spotify.com/track/4vLBnQtece15fFhqWxZvJP
184,"Say You Won't Let Go","James Arthur",840709,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
185,"Toosie Slide",Drake,839081,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
186,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",837853,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
187,"everything i wanted","Billie Eilish",831891,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
188,"POPSTAR (feat. Drake)","DJ Khaled",828524,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
189,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,822280,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
190,"La Luz",Sech,815422,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
191,"BOOKER T","Bad Bunny",813723,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
192,"Carol of the Bells","Mykola Dmytrovych Leontovych",813001,https://open.spotify.com/track/4tHqQMWSqmL6YjXwsqthDI
193,"Santa Baby (with Henri René & His Orchestra)","Eartha Kitt",808921,https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO
194,"SICKO MODE","Travis Scott",808597,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
195,"Christmas (Baby Please Come Home)","Mariah Carey",807470,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN
196,"The Void","Kid Cudi",806534,https://open.spotify.com/track/2yg7MXp8nSPaf61HVkhEr3
197,Dior,"Pop Smoke",802907,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
198,"Santa's Coming for Us",Sia,802236,https://open.spotify.com/track/1N1ZpYUJc9fwrqk53FGgWv
199,Caramelo,Ozuna,798266,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
200,"my ex's best friend (with blackbear)","Machine Gun Kelly",797976,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
